AIPO: Well Tie-In Discussion 
lun, 25 de nov de 2024

0:00 - Khalid Sarfaraz (ADNOC Group D&CS) Good afternoon, good afternoon. I'm just, I forgot which, okay, perfect.
17:12 - Arun Tejnarayan (ADNOC Group D&CS) So my question is like this time materials right is nothing but a regular materials just like chemicals or the other form of materials so is this needs to be considered as a part of the trailing process the entire like one stage of the drilling process or like what but this needs to be considered as a regular chemical process or something this come kind of I know how this project actually yeah this is like a project engineering project actually

17:52 - Vignesh Perumal (ADNOC Group D&CS) I think see I think what these tie in the see first of all these drilling items know which are which they are using probably Probably, I think they are using it to drill under the ground. Maybe it is like this. No, no, no, sort of things. This is different. This is on the surface. Assume that you are able to extract the oil. You want to join that oil flow with some existing pipeline, okay, because you don't want to lay a new pipeline. Maybe you want to intersect one pipeline and feed the oil into that existing pipeline so that this will allow you to expand, you know, the network and pass the probably the crude into the processing plant. I think this is my understanding, but again, Doss or Ashik, now you can correct me if I'm wrong.

19:05 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yeah, exactly, exactly. That's correct, that's correct.

19:07 - Rahul Patel (ADNOC Group D&CS) So you're basically, you're connecting your well to your existing grid of pumping system or oil grids.

19:13 - Vignesh Perumal (ADNOC Group D&CS) Yeah, but the thing is, there may be so many cases where a direct connection may not be available. So I think they are using this sort of tie-in materials to probably put a hole into the one existing pipeline and connect one with another. This is on the surface. This is not under the ground. That is the difference, I think, between the drilling items and these tie-in items.

19:41 - Hector Palacios I have two more questions. If you can answer, otherwise, we can wait up to. The first, is this done by a specialized team? Mentioned that this is like a project, so I guess that this is a different team. It's not drilling, it's not MRO, it's not chemicals, it's another team. Yes, exactly. All right, perfect. And your question, the material type, is this another type of material?

20:10 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No, it is currently under the drilling, the DRL.

20:13 - Hector Palacios It's under drilling material type. Yeah. All right, that's it for on my side. I don't know if there is any other question or we wait until two.

20:27 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yeah, better.

20:28 - Mohammed Ashic (ADNOC Onshore - PD) We can have a detailed discussion at two o'clock. And also, why can't this be monthly?

20:35 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) You distributed nights only, not yearly, right? Yeah, we are getting it to yearly. Then we break them into monthly for our planning.

20:45 - Mohammed Ashic (ADNOC Onshore - PD) that like the well completion will be having a monthly completion, right? So that we can check with them.

20:51 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) We'll talk to them. Is it possible?

20:53 - Rahul Patel (ADNOC Group D&CS) Yeah, so yeah, so probably based upon the drilling completion plan, this can be a follow up project saying that after the drill is completed, these are the metals required. So so in a way it can be in line with well plan, but then metals are plan independent is what I'm understanding. A quick question before we drop this call. Is this related to VMI anywhere?

21:16 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Currently there is no VMI involved in this time activities. I mean, so it's a direct direct document, correct? There are some LTPS available from the duties release order and some will be spotted.

21:29 - Rahul Patel (ADNOC Group D&CS) So so essentially we are not talking about drilling process or at all. Our understanding from a previous call, but we had was the process is same as drilling. But now it's it's a simplified process. It's a different process, but same as chemicals. What you're saying, of course, let's understand more in our call. I'll move this call to 2 o'clock. Alright.

21:52 - Unidentified Speaker Thank you, OK, thank you.

21:54 - Khalid Sarfaraz (ADNOC Group D&CS) Thank you, thank you, thank you.

1:01:29 - Unidentified Speaker Shabbat shalom.

1:02:17 - Unidentified Speaker Yep, yep.

1:08:27 - Unidentified Speaker Looks like people are still busy.

1:09:01 - Hector Palacios (ADNOC Group D&CS) It may be another option is to move it for tomorrow.

1:09:07 - Khalid Sarfaraz (ADNOC Group D&CS) Tomorrow I think that we are mostly free of meetings. Tomorrow morning maybe. Let's just wait five minutes and then we'll move it tomorrow.

1:09:22 - Unidentified Speaker All right.

1:09:23 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) It seems Farid is busy. This is what we are thinking. Some of the meeting what we can do I will check with him okay maybe if suitable tomorrow we can have we can reschedule the meeting you know yes yes tomorrow I'll check with him the timing yeah okay okay then then I'll I'll communicate to KPMG yeah sure sure or you let me know I will I will let them sure sure okay all right all right I'll suggest tomorrow 11 but check with whatever time is feasible for you.

1:10:01 - Unidentified Speaker Yeah.

1:10:02 - Hector Palacios (ADNOC Group D&CS) Okay. All right. Thank you. Thank you. Thank you.

1:10:07 - Rahul Patel (ADNOC Group D&CS) you level.

2:24:57 - Vignesh Perumal (ADNOC Group D&CS) Bye!
