AIPO: Well Tie-In Discussion 
mar, 26 de nov de 2024

0:01 - Unidentified Speaker little lazy. Okay.
19:46 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) No, no, no, no. 5 to 6 kilometers I consider for BAP like Buhasa and South East the flow lines are smaller so we consider only 2 to 3 kilometers. That as I said we are part of the execution team so we know the number of flow lines which consumed in a year like number of wells how much flow lines is coming to BAP normally comes from 5 to 6 kilometers longer flow lines for South East and Buhasa has been pretty small 2 to 3 only they have been consumed.

20:11 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yeah so depends on the field the quantity. Depends on the field yes quantity will definitely will change. Yeah, I go. You have to make a note of it.

20:20 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) It's not a standard quantity and the current is a new field will have lesser flowline length. And it's true.

20:28 - Unidentified Speaker How many bombs do you have?

20:30 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) How many?

20:31 - Unidentified Speaker Yeah, yes.

20:32 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) I like oil and water only for oil has only six classification and water have four classifications.

20:38 - Bastian Osorio So can we say is it fair to say there is 10 different bombs you can use?

20:45 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Yeah, 10 different bombs I can use for JV wells.

20:49 - Bastian Osorio Yes, I have only one to two balls. Then a more general question. What would you say are the main challenges for performing these tasks?

20:58 - Unidentified Speaker Challenges. Yeah.

20:59 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) As I said, getting the well information is the challenge. We don't know which bomb to be selected during the forecast, but as previous consumption is so we have not faced difficulty in the forecast. We normally consume in JV and 80 to 85% of the forecast material which we forecast. If I'm consuming. No, I'm saying that if I'm forecasting some quantity and I'm consuming 80 to 85% of what I'm forecasting, then I'm not feeling much of a difficulty in the forecast part.

21:37 - Bastian Osorio And how you how do you the right of course is based on your experience and your criteria and I guess also depending on the requirement of the well but how do you identify the right and when do you identify how well in advance you identify the right bomb for each type of well? Is it a year ago or two years ago?

22:01 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) No, six months ago only I will get the correct well MTO. Which type to be catered for a particular well.

22:09 - Bastian Osorio And how long is the lead time to buy these materials? Because six months doesn't sound, I mean considering the average lead time.

22:17 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) We procure the materials what we forecast for when the procurement team initiates the procurement of materials for one year stock based on our forecasted quantity. The quantity is already available for one year stock for me in BAP 13.

22:31 - Bastian Osorio So it can happen that you you have maybe. You have bought the not the exact same required materials. There are some. Inaccuracy, let's say a way. Yeah, but as I said, it's a contract.

22:45 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Yeah, it's part of the process, so I'll be consuming it. So like if I have not consumed this, I'd be consuming next year.

22:54 - Unidentified Speaker Definitely that item.

22:55 - Rahul Patel (ADNOC Group D&CS) So so the question here is the 15% inaccuracy. How does it impact like do you? Material or you come up you have a situation where you do not have the metal because it was not forecasted but that 15 so you say 85 percent time you consume the forecast right which means what I'm saying is

23:11 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) based on the value which is given to us by the procurement team procurement team sends us the value of like this is the value which we have forecasted this is the value which we are consumed so based on it

23:21 - Rahul Patel (ADNOC Group D&CS) I have seen last two years we have consumed more than 80 to 85 percentage of what we forecasted yeah in terms of value you are saying there is not much obsolescence but at a material do you see challenge that at a certain metal is not available because it was not forecasted?

23:35 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Not forecasted the material was not available. It does not look like some items were unplanned and newly added something like that. The existing materials. It has never happened to us that way. The forecast material was not focused and not available. Like an tendering delay from our side or something like that, that type of actions might be. Reflected or the supplier didn't supply on time.

23:56 - Rahul Patel (ADNOC Group D&CS) Yeah, but then from a since there is a ruling requirement for three years, you never see shortage of material. Because we are revising the forecast every quarterly basis, right? The forecast review is quarterly basis quarterly basis.

24:13 - Unidentified Speaker OK.

24:13 - Bastian Osorio And and when will of course we're thinking about how to make. As some of the tasks that that you and your team is doing, but thinking about that, What would you say will be the first task to automate and that will add more value to your work? What will help you to do your work easily? Thinking about how to automate certain tasks.

24:40 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Automate the task in the sense of the well information from development should be available in the drilling. The process parameters if development or drilling provides the well parameters into the data So it will calculate automatically what is the type of well. But we are not able to freeze the DWS six months ahead of our ID for a long time. It's been tied for a development will not be able to give information two years ahead of time. The process parameters of a well.

25:10 - Bastian Osorio This is interesting. So you you say what you need exactly is the well type with the well type and of course the field type.

25:17 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) I'm saying the well parameters will type is already defined. To use what the exact parameters you will need to define the right materials And plus as I said which wells are going to project or which wells are going to time call out contract is not defined from a database. Which we again have to go back to the planning team to get this information. So like all wells in the database, I don't need to be Just stop on the database.

26:39 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) I'm sharing screen, right? Yes, yeah, yeah. If you see the well parameters, I said the flow parameter. The flow parameters design the size of the flow line. Is it with if you see the 2025 which which well which I opened and did a place. In September, like 910 months from now, if it shows it shows empty, there's no well parameters here.

27:01 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) That means they may not be knowing what is the pressure of the well.

27:06 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) They cannot provide this information.

27:08 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yeah, it depends on the pressure of the well. Let's say 1500 or 2500. The complete basket of material will be different depending on the pressure. Even though it is the same oil well, but the pressure is different, so they will have a different set of materials. So that is what he meant by the parameters.

27:28 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) Parameter exactly. So 1500 rated wells and 2500, totally the materials are completely different.

27:33 - Unidentified Speaker Right.

27:33 - Rahul Patel (ADNOC Group D&CS) So is there a correlation between well parameter and the metal basket? Like if like suppose we start with that, we don't have this parameters, which means we use the standard bill of material which you have are based upon historical consumption. But then as you get the parameters, you will change the forecast, right? So if this information is available later in the system, whenever this is available is there is there any correlation between the parameters and the bill of materials so that we can like when the information is available we can refer

28:10 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) to this and propose you that bill of matter is this something you think which will be helpful no by the time parameters are released too late no already six to three months before drilling I getting the confirmation is not

28:23 - Rahul Patel (ADNOC Group D&CS) required if I already procured the materials based on these parameters before yeah so we understand that challenge from a process perspective which from an IBP I don't think we'll be able to solve right because that's that's the process you have that's outside IBP but what we can help is if you have this information so considering that we are getting well information from DWS if there are if those additional parameters can be brought into IBP and if that parameters can help you this decide correct block model whenever those are available yeah that's a separate process that those parameters should be available as soon as possible but then whenever they are available in dws there is there a way with which we can do some system-based correlation and propose a build of material saying that now the parameters are available you had forecasted say x but now based upon the parameter the forecast should change to y but that will not

29:22 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) be parameters of all the wells for three years, right? Yeah, so whichever is available. So whenever is available, that means I still get partial information only, right?

29:34 - Vignesh Perumal (ADNOC Group D&CS) I think I think I think in order to solve this issue, it is not only going to happen with a tool like IDP. What Mr. Shaik is saying is he knows you know the parameter for which you know the viewer only six months. Before. So we in the IBP cannot you know give a forecast you know ahead of that right. So maybe this sort of thing we don't know we need to I don't know how IBP can solve this issue Shaik and Jagat.

30:04 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) And plus as I said you know some of the items are always manually added into this one which is not part of the DWS so which is not something that can be linked to DWS all the time. Which I clearly showed, some team will come and say, I need materials for 7 wells, only for 10 items only I need for 17 wells.

30:28 - Bastian Osorio I was thinking what we can do basically as far as I can see. Of course, we can provide the template bombs and provide the information from DWS, right? Of course, when this information is available, you will be able to use it. To select the right bomb and the right materials. The only difference is going to be more automated, but of course, there is nothing we can do to determine sooner the required materials because this is based on, as you showed to us, first on the parameters of the well, and then your expert criteria. Maybe we can assign the materials initially based on certain rules that you can can define, right? But more than that, I don't think. And of course, having the track of everything what's going on, I think there is some space to, of course, have it on the cloud. That's for sure. But in terms of your expert criteria, I think that cannot be replaced.

31:33 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) For me, it will not help me solve the issue for buying automated assets and assembles. As I said, there are two designs Some are with the high H2S will have a separate design. Normal oil producer have a different design. The database will not tell me which is high H2S or non H2S. This information also I will get it only with like very close to drilling only.

31:56 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yes, yes, but yeah, it's like what we can do, you know, based on the last three years consumption. The IBP can propose you what would be the next one year or two years. Just a forecast one. It could not be accurate 100%. 70 or 80 percent and you can review those proposals and wherever the amendment is required you can make it manually.

32:17 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) So that is making my work more right Jagan. I can easily do it in Excel and prepare it easily when I'm going to review it. It is going to be more difficult for me right. Preparing it might take maybe like half an hour only for me to do entire preparation of a forecast. Preparing something then reviewing Yeah, going back the planet will take more time for me.

32:41 - Bastian Osorio Just It assumes that Historical consumptions will repeat in the future. I don't know or will follow certain train.

32:46 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) I'm not sure if that the case Historically from then again still I have to check with them for the future trends Then I would again go back to project in which materials some worlds we can So I think it is increasing the work on innovation starting it and doing it is more easier.

33:03 - Bastian Osorio I don't excel I think what can be useful is first have, of course, that you are able to see all the information for the next three to five years of the wells with the parameters from the DWS. And based on that, you can have all the templates, the BOM templates, within IVP and based on that you can do your work and it's going to be all stored in the cloud. At least this is the value that IVP can add initially. Of course, once we build this or we have made some progress building this, you can take a look, review it and see what should be the next step. But as an I think we have a first approach, which is what you showed to us. Sorry, and just to complement that, based on that also, and your confirmation within IVP, we can start the pool change process, the PR generation.

34:26 - Khalid Sarfaraz (ADNOC Group D&CS) so on and so forth. And it will check the existing stocks itself and it will only purchase where the stocks not available. Also we can check it across different companies whether the stock is available in somewhere else.

34:45 - Hector Palacios (ADNOC Group D&CS) Yeah for sure it can give us visibility if you are liking that today. Here are the questions I saw that the forecast is by year. Is that correct? Or you have it are more granular layer like quarter or maybe month?

35:04 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) No, no, we focus is yearly basis.

35:06 - Hector Palacios (ADNOC Group D&CS) And how you assign this to a PR need, for example, because if you have by year when you're going to place a PR.

35:16 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) That is somebody from inventory management has to distribute monthly.

35:20 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) You know they they break them monthly requirement just divide by 12 months. That's all OK.

35:27 - Hector Palacios (ADNOC Group D&CS) So we take the yearly forecast and so and we break down this forecast to a monthly basis.

35:35 - Unidentified Speaker Is that correct? Yes.

35:37 - Vignesh Perumal (ADNOC Group D&CS) That makes more sense. It's not an accurate planning it is a very.

35:43 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Because anyway, we are our hospital service level agreement. At least 12 month forecast on ground, you know, so.

35:51 - Hector Palacios (ADNOC Group D&CS) Then now it's opening up a door for IVP there because that's the point. Maybe can help you in that breakdown so you can check the numbers at a high level. You cannot just check the high level if you need, but IBP can propose how this is going to break down to the monthly basis because that's the level at which we need it in order to start placing the PRs.

36:18 - Unidentified Speaker Okay, that makes more sense.

36:20 - Hector Palacios (ADNOC Group D&CS) And related to the stock levels, I guess that this is more in the inventory control, but are we keeping any rules here? Like, let's have like three months of stock, six months of stock. Are we having reorder point? Are we having maximum levels of safety stock? Do we have any related to that?

36:46 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No, no, we don't maintain any levels in the system. So yeah, no, no, there is no levels.

36:52 - Rahul Patel (ADNOC Group D&CS) So essentially we just procure and keep one years of stock in the system like we just want the plan is to keep one year of stock based upon the demand.

37:03 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yeah, that is a principle agreement. One year, maybe some cases we reduce to six months wherever there is a valid price agreement and also depends on the time okay we place the order for one year then we'll put the staggered delivery you know so it keep on coming in so we don't need to always maintain one year so it depends on the category of the item like line by panel we don't keep one year we just reduce them you know because we have I

37:32 - Rahul Patel (ADNOC Group D&CS) think this this is where also IBP can help optimize stock considering that we'll have all the parameter system you have lead time so IBP we can think of we know the how how much can be the stock which can be required you may not need one year everywhere right the this is something IBP can help provide the visibility and reduce the stock considering that if the lead time is low and then the requirement is frequent then essentially we keep the stock Maybe jumping the topic, I understand that what we are doing is Excel-based mostly.

38:10 - Hector Palacios (ADNOC Group D&CS) Maybe we can get some information from the DWU system, but I understand that all that we are doing today is Excel, right? How sure are we about the quality of the data of the lead times we can have or the stock information that we have as well? Just to understand, because if we are going to place this into AVP, we need to extract this from the source system, but as you're working mostly on Excel, maybe you don't care a lot how is the quality of the data of the lead time, for example, in the system. When you use the lead time, Yaga, just to place an order or just to plan, are you using information from SAP?

39:05 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Most of the lead time is available in the agreement, you know, what the supplier agreed, because we have a three to five years agreement, so we know which material is going to be supplied when, based on the supplier lead time proposal, you know. And also, most of these materials are fast-moving materials. It also, this is supposed to keep on updating the latest lead time.

39:35 - Hector Palacios (ADNOC Group D&CS) Okay, so it's...

39:36 - Unidentified Speaker Yeah. Okay, that's good to know.

39:39 - Khalid Sarfaraz (ADNOC Group D&CS) Thus, for these kind of materials, I think there are no, there is no MRP, right? There is no inventory parameters maintain it. No, no, these are all yeah. So the inventory controllers are planning something for it?

39:54 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yes, based on the forecast they will plan. You will see what is available on ground and also what is on order and whether they have agreement or this and that. They will analyze each and every item.

40:10 - Khalid Sarfaraz (ADNOC Group D&CS) And this area they are mostly doing it manually, right? Absolutely. They have some tracking kit. They'll see all status. So they will receive the requirement from Well-trained department and then they will plan it accordingly. And the PRs are raised by inventory controllers?

40:38 - Unidentified Speaker Yes. Stock PRs? Yes. Okay.

40:42 - Rahul Patel (ADNOC Group D&CS) So I think So Jaganath, can we then agree upon how we proceed with this time requirement? So is this something like we can agree that we will upload the demand directly in IBP and then use IBP from inventory planning and supply planning perspective to have a like a centralized view of the entire time demand and not link directly with the drilling process? Is this something which we are looking for?

41:10 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) Yes, yes, exactly like chemicals, yeah.

41:13 - Rahul Patel (ADNOC Group D&CS) like chemicals. So essentially the chemicals, yes.

41:16 - Bastian Osorio Just to be maybe more precise in the information, I think what we can do is to upload the BOMs and then the user will choose which BOM and then based on that we will create a stock balance with the current available stock, the current open POs and also What is the system proposed to fulfill the demand?

41:42 - Rahul Patel (ADNOC Group D&CS) The way I'm hearing Bastian is, and Tim, you can correct me if wrong, that forecasting will not help a lot considering there are a lot of manual inputs. And even Shaik said that it's easier for him to prepare for forecasting exercise. So essentially, the way I'm hearing it, and I can be wrong, you guys can correct me, that we are looking for just to upload the forecast in IBP so that rest of the processes can be managed. One getting the visibility of all the forecast for all different requirements across five year and then using this tool to manage and have visibility of what is the availability of material across across forecast. So that's what I'm understanding is the requirement, correct Jaganath? To directly upload forecast but not to. Create forecast based on historical.

42:35 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) No, if the system proposing a best better forecast, really it is. We are not going to deny in that because we need to see how that the how extend the IBP is going to help us on this. We need to see the results checked. Don't no need to miss the chance you know. So even the let us. Let us see what is the IBP proposals shake. Maybe have a look at it and review it and then see what is the then we can decide you know.

43:04 - Unidentified Speaker Look as I said no.

43:05 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) If it is increasing my load like as I said to the forecast will come, then I verify as per the requirement. It is more easy than it finished in Excel, then it's can be uploaded into the system, right? Yes, if there is a lot of malign reason, that is what it could be done. It is coming and verifying is take a lot of time to verify the same thing against each item number. If you see for now, as per the new requirement is more than 565 items are there for 10 materials. So what I guess they can.

43:36 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) But the new design is a standard bill of material, right? New design is not the standard.

43:42 - Shaik Shaheed Sheriff (ADNOC Onshore - PSD) There's a lot of conversion wells are there. Conversion wells is not will not be even reflected in the database. So how do we link it to the database then? No, no, they don't.

